,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
171389,SAQLQ7XUYX,42,62733,25512,753,106,4,19.64,60,0.77,High School,Unemployed,Single,0,Yes,Home,1,1
185616,HLYVRJVTGZ,37,16092,68972,407,67,3,8.49,24,0.48,Bachelor's,Unemployed,Married,1,Yes,Education,1,0
238912,H3M2RLK4QI,18,91956,227949,610,1,3,18.35,24,0.76,Master's,Part-time,Divorced,0,Yes,Auto,1,1
91877,4GUQNSMBP5,20,80770,22309,683,101,2,7.24,12,0.34,Bachelor's,Part-time,Single,1,Yes,Other,0,0
172519,5LJ533T2HM,18,120769,71462,564,8,1,24.4,48,0.79,High School,Full-time,Divorced,1,No,Education,1,1
173682,K9MEYH2ORQ,48,42328,178777,366,90,3,23.82,24,0.48,Bachelor's,Unemployed,Single,0,No,Home,1,0
189645,ESAONML2JC,29,40387,167622,736,80,3,21.09,12,0.55,Master's,Unemployed,Divorced,0,No,Business,0,0
207830,FT2563BBCH,19,24408,160283,751,57,2,10.22,48,0.45,Bachelor's,Self-employed,Single,0,Yes,Business,0,1
231256,BAO0PCB4XB,55,76931,117549,490,41,1,16.31,36,0.2,PhD,Full-time,Single,0,Yes,Auto,1,0
11542,A92E3PV2XQ,39,136260,219042,819,52,4,16.28,48,0.5,High School,Full-time,Divorced,1,No,Education,0,0
88152,X0FXL67D4H,21,85049,128148,758,35,4,8.9,48,0.28,High School,Part-time,Married,1,Yes,Home,1,0
36181,UTG0P4RAD0,18,128504,5549,634,89,4,15.29,12,0.42,High School,Unemployed,Divorced,0,Yes,Education,1,0
28231,COBDXPIDHF,19,109000,191947,739,82,4,5.16,48,0.62,Bachelor's,Unemployed,Single,1,Yes,Home,1,0
226121,Q1SIP5Z59P,54,120787,97994,673,58,4,14.36,12,0.49,PhD,Unemployed,Married,1,No,Auto,0,0
50743,CSV8HT7RN1,22,74918,157549,716,105,3,12.17,60,0.53,PhD,Part-time,Divorced,0,No,Home,0,0
58458,IY2L7S41BZ,46,33094,88593,482,107,2,20.2,60,0.55,Bachelor's,Full-time,Married,1,Yes,Home,0,0
196682,21HEH8LUOL,51,144927,72779,596,6,3,8.23,48,0.16,Master's,Full-time,Divorced,0,No,Other,1,0
185930,VMAWZLTOHY,37,97053,186149,475,118,4,23.0,12,0.69,Bachelor's,Part-time,Divorced,1,No,Home,0,0
65370,164G09E693,24,135403,169371,635,39,3,8.05,24,0.69,Master's,Unemployed,Divorced,0,No,Business,1,0
239356,TMBAFGF7FT,46,111512,204132,452,3,3,6.65,12,0.13,Bachelor's,Part-time,Single,1,No,Other,0,0
220779,SCY463U25T,60,132490,94866,764,114,4,14.79,12,0.63,PhD,Unemployed,Divorced,1,No,Other,0,0
83475,VPWK2SBXTD,28,83105,16341,602,67,1,10.12,36,0.67,PhD,Self-employed,Divorced,1,No,Auto,1,0
90933,JO31ZKZJY3,40,63733,20173,364,101,1,8.9,36,0.44,PhD,Part-time,Single,0,No,Business,0,0
141903,R87H0GK08K,45,90367,153393,777,20,2,16.94,12,0.36,Bachelor's,Self-employed,Married,0,Yes,Home,0,0
191490,JBJKBBRRYG,32,47405,243047,526,29,2,7.35,48,0.19,Master's,Unemployed,Divorced,1,Yes,Other,0,0
198330,H6FZA07WMB,64,34717,195528,775,62,1,3.17,24,0.72,Bachelor's,Unemployed,Married,1,No,Business,0,0
228852,LPFIZNNMFB,69,54663,207129,571,77,3,18.43,24,0.34,PhD,Part-time,Single,1,No,Home,1,0
241378,4OEZBOC6JV,59,78703,182763,720,108,4,14.59,12,0.72,PhD,Self-employed,Divorced,1,No,Home,1,0
215049,1PFSZYK53I,64,115655,131465,328,12,4,19.34,48,0.67,Bachelor's,Full-time,Divorced,1,No,Other,1,1
61213,EU9IAVWNEQ,55,54537,100081,716,91,1,6.71,24,0.54,Master's,Full-time,Married,1,No,Business,1,0
38693,8L90TCJL2P,53,116008,9761,708,18,3,8.87,48,0.76,High School,Self-employed,Single,1,No,Business,0,0
43773,6GQXOWK23F,18,75312,229698,817,22,4,21.66,36,0.57,PhD,Full-time,Divorced,1,Yes,Business,0,1
204241,TOZFNKW7Q2,45,121867,208785,638,89,1,8.39,12,0.53,PhD,Full-time,Married,0,No,Education,0,0
20461,7040V1I8J2,22,139441,110185,742,115,2,19.24,24,0.77,Bachelor's,Unemployed,Married,0,Yes,Business,1,0
33643,H8RSKENTBS,56,24596,215191,445,18,1,21.52,60,0.41,High School,Self-employed,Married,0,No,Business,0,0
255312,1BYA5HN05I,69,109352,129234,767,56,4,11.76,36,0.39,Bachelor's,Unemployed,Married,1,Yes,Home,1,0
118703,YRK2H646RJ,22,28895,98448,823,61,1,23.46,60,0.46,High School,Unemployed,Single,1,No,Auto,0,1
58829,PALMGRMYSJ,21,51141,239010,644,15,3,9.64,48,0.85,High School,Part-time,Married,0,No,Auto,1,0
150699,LC21SNVWLV,19,33290,157733,377,113,4,24.02,60,0.24,Bachelor's,Self-employed,Divorced,1,No,Auto,1,0
157570,GNNHLXLNOO,45,48420,188389,487,97,3,11.15,60,0.22,PhD,Unemployed,Divorced,1,No,Education,0,0
148075,ETIP5WRV5F,21,93885,24627,771,52,4,17.27,48,0.36,Master's,Self-employed,Single,0,No,Home,0,1
76961,UQFK25W33G,37,133221,125119,664,76,2,18.93,36,0.34,High School,Full-time,Married,0,No,Home,1,0
85251,BFK2FS03ML,57,146838,234615,652,83,1,9.05,48,0.49,PhD,Full-time,Divorced,0,Yes,Other,1,0
144940,1HBL3PSP86,65,108349,89715,576,55,4,22.51,12,0.89,Master's,Part-time,Married,0,Yes,Auto,0,0
226793,PNNZ31FLT4,48,41945,163150,344,25,3,17.52,36,0.71,Master's,Unemployed,Married,1,Yes,Other,1,0
111916,9OP45YO909,41,139721,219540,804,60,1,21.99,36,0.31,High School,Part-time,Single,0,No,Auto,0,0
124552,LU4K9VWLAJ,23,24285,54211,612,8,2,9.79,36,0.27,Bachelor's,Unemployed,Divorced,1,Yes,Education,0,1
20886,EDJ5MH43MM,48,81593,247084,516,16,1,13.07,12,0.88,PhD,Full-time,Single,0,No,Education,0,0
118279,O22F7D7RVE,50,119805,126748,753,61,4,16.95,12,0.5,Bachelor's,Self-employed,Married,0,Yes,Other,1,0
1296,P319U3TDX5,53,102337,32988,822,46,3,23.22,12,0.61,Bachelor's,Self-employed,Divorced,0,No,Education,1,0
230325,TRXQSH4QGG,27,60044,105232,353,11,4,21.51,24,0.28,High School,Self-employed,Divorced,0,Yes,Other,0,1
189077,11JBO1BZQC,30,69036,113433,768,110,2,23.82,12,0.13,High School,Self-employed,Divorced,1,No,Other,1,0
79243,MN265E1S3E,44,104717,205517,648,34,3,12.65,36,0.43,Master's,Unemployed,Single,0,No,Business,0,0
197439,N40LHPQ24W,60,105324,48368,725,57,2,19.41,48,0.13,High School,Full-time,Single,0,Yes,Education,1,0
50941,CFAB0PFGR6,47,79199,56483,683,16,3,21.55,12,0.5,Bachelor's,Part-time,Divorced,1,No,Business,1,0
233006,7OQSXAWUWQ,34,31713,187254,421,102,2,18.94,60,0.38,Master's,Part-time,Single,1,Yes,Business,0,0
24484,OWRYV68YZT,21,123444,206408,733,99,2,5.03,12,0.11,Master's,Unemployed,Married,1,Yes,Other,1,0
17830,KNIDYLJGKJ,60,139961,143429,529,75,3,2.03,12,0.33,PhD,Unemployed,Single,0,No,Other,0,0
167704,5ZC5I0I645,62,96565,136829,410,24,1,2.14,24,0.43,PhD,Self-employed,Single,0,Yes,Home,0,0
46031,MYECBFL6AO,56,125230,213359,818,70,2,12.8,60,0.58,Bachelor's,Full-time,Single,0,No,Other,1,0
31995,CPCO630RA7,26,130303,85289,412,48,2,21.71,24,0.24,PhD,Full-time,Married,1,No,Auto,1,0
159381,C93UIQTUCV,31,102397,37126,328,77,3,14.66,24,0.42,Bachelor's,Full-time,Single,0,Yes,Business,1,0
151209,KO90T29F3J,68,148056,167952,583,53,1,2.17,36,0.17,PhD,Self-employed,Divorced,1,Yes,Education,1,0
55574,4IWCGI4E8Q,50,82631,180321,331,64,3,14.24,36,0.23,Bachelor's,Full-time,Single,0,Yes,Home,0,1
133553,3CD1012EEN,55,90071,15093,766,5,4,18.65,48,0.68,Master's,Unemployed,Single,1,No,Business,1,0
95949,8U1XZ4Z747,63,148441,89928,637,104,4,13.07,60,0.85,Master's,Part-time,Single,1,Yes,Other,1,0
102427,3N3HK3UVLK,44,102261,41033,578,78,3,4.52,60,0.45,High School,Full-time,Divorced,1,Yes,Education,1,0
239622,S56Z27QMDQ,57,40037,107671,660,101,1,14.14,60,0.81,PhD,Unemployed,Divorced,0,Yes,Auto,1,0
133929,FL9PTWH6ZA,28,86301,195016,365,53,2,21.96,36,0.68,Bachelor's,Full-time,Married,0,No,Education,1,0
149349,BRYYCIGA44,49,73402,234475,807,0,1,6.32,12,0.62,PhD,Full-time,Single,1,Yes,Auto,0,0
223523,CBOLJN4V99,35,47288,164020,782,61,4,15.4,24,0.22,Bachelor's,Part-time,Married,0,No,Business,0,0
210193,9Y0D8WSJQB,29,84339,168440,408,41,3,12.02,60,0.69,PhD,Self-employed,Married,1,Yes,Home,1,0
205504,3ZBPVAD4UQ,52,109147,103751,640,12,2,13.13,36,0.48,High School,Full-time,Divorced,1,Yes,Education,0,0
225931,JIOK9O5OWJ,45,146767,168002,313,109,2,4.35,60,0.61,Master's,Full-time,Divorced,0,No,Education,0,0
202933,8XCLRTS7CT,67,107269,70183,685,78,3,2.91,48,0.43,PhD,Full-time,Married,0,Yes,Other,0,0
108473,4SVZ8PP4FH,53,67550,159730,752,6,4,9.6,12,0.88,Master's,Unemployed,Married,0,Yes,Home,0,0
30855,CDE8XEGS64,58,122013,33402,438,25,2,10.44,24,0.22,Bachelor's,Self-employed,Married,0,Yes,Business,1,0
101275,99LZVC4B21,42,123048,107722,434,86,3,6.26,48,0.82,High School,Self-employed,Married,0,No,Home,0,0
103276,CNLAMZFQH0,26,114593,109330,675,108,1,9.04,24,0.67,PhD,Part-time,Divorced,0,No,Other,1,1
15601,FNE1IZTNNM,19,43252,186062,345,80,4,7.55,60,0.82,Master's,Self-employed,Single,0,No,Business,1,0
139630,M2BLB0EPC4,38,79175,18533,393,69,3,24.02,60,0.49,High School,Part-time,Divorced,0,Yes,Home,0,0
208525,I34Z9KPWKV,61,65469,158208,575,2,4,9.2,24,0.23,PhD,Unemployed,Divorced,0,Yes,Other,0,0
1254,WHW7GH1UOW,40,128878,155280,319,85,3,20.45,24,0.25,High School,Part-time,Married,0,Yes,Auto,1,0
185547,O6YK8FEEQ1,19,43048,30926,796,6,1,2.99,24,0.86,High School,Self-employed,Single,1,No,Other,1,0
98348,EHLILVL659,47,60054,47644,542,87,4,5.0,48,0.66,Master's,Part-time,Married,0,Yes,Education,0,1
186211,B4G3DVTYRI,47,44234,26460,509,37,4,12.38,36,0.3,High School,Self-employed,Divorced,0,Yes,Other,0,0
49578,77K99AFCQJ,32,55894,11035,426,55,2,13.26,36,0.44,Bachelor's,Self-employed,Single,0,Yes,Education,1,0
52184,HC8G23VKLH,20,85740,29470,490,40,2,15.91,24,0.52,PhD,Full-time,Divorced,0,No,Other,0,1
125421,B3OCR8DLYE,58,147026,119088,526,17,2,21.3,60,0.49,High School,Full-time,Single,0,Yes,Education,0,0
8430,N7QMSZG6RE,40,120505,63145,567,15,1,17.01,24,0.8,Bachelor's,Self-employed,Married,1,Yes,Business,0,1
153829,BLSLUIDU5V,21,25206,139132,404,98,3,2.01,48,0.66,High School,Full-time,Single,0,No,Home,1,0
120642,2ZYVSUPL6I,63,63176,73628,313,69,3,20.73,36,0.49,Master's,Part-time,Divorced,0,Yes,Auto,0,0
15517,4NY5CCFKR5,62,130890,193433,824,101,1,18.36,48,0.25,Master's,Unemployed,Married,1,Yes,Other,0,0
8754,2KQH31T3BN,32,33443,84452,324,0,4,20.98,36,0.45,PhD,Unemployed,Married,0,No,Home,0,1
208115,9H0FDAF6GQ,66,116590,53426,620,25,4,14.31,48,0.85,High School,Full-time,Divorced,1,Yes,Home,0,0
56042,RJOF0TZTFX,62,86332,81831,599,22,1,16.4,48,0.14,Bachelor's,Self-employed,Single,1,Yes,Auto,0,0
45213,4Z956AGLFA,19,40164,196755,634,65,3,14.27,36,0.66,PhD,Part-time,Single,0,No,Home,0,0
205821,ILR0C26CGR,53,96663,111139,793,15,4,11.67,12,0.79,Master's,Full-time,Divorced,1,Yes,Home,1,0
7887,X32N2EFFTX,41,16163,184606,546,95,4,2.42,36,0.55,Bachelor's,Unemployed,Single,1,Yes,Business,1,0
22431,AICD2VT3WF,53,75852,62319,710,16,2,9.05,48,0.32,High School,Part-time,Divorced,0,Yes,Education,0,0
157252,VZRU83IMUH,23,49679,108309,304,69,1,11.36,36,0.56,Bachelor's,Part-time,Divorced,1,No,Other,1,0
137048,1PDPPC1TGF,53,63174,121388,674,11,1,20.62,36,0.12,High School,Full-time,Married,0,No,Auto,1,0
54226,MHUQON686G,47,119369,64877,497,96,4,12.63,48,0.59,Bachelor's,Self-employed,Divorced,1,Yes,Home,0,0
241111,TCBMJIJ2W2,35,143812,172817,526,118,2,7.0,12,0.79,PhD,Part-time,Married,0,Yes,Business,0,0
220465,YRI5K0QM99,36,18944,7777,518,1,1,9.94,12,0.26,Bachelor's,Self-employed,Divorced,1,Yes,Business,0,0
106060,4C1OD4F4RM,68,25628,8237,318,94,3,20.85,36,0.76,PhD,Unemployed,Divorced,0,Yes,Business,1,1
187525,62VB4UWXF6,46,126453,44848,841,28,4,19.77,24,0.44,High School,Self-employed,Divorced,1,No,Auto,1,0
89209,ZNLQOSQDOF,62,66060,53639,529,12,2,20.6,48,0.82,Master's,Unemployed,Single,1,Yes,Auto,1,1
49194,735SUYAV1C,38,115073,127613,406,20,1,19.05,60,0.84,High School,Part-time,Single,1,No,Education,0,1
161900,0J7V28R23X,18,132687,148031,438,48,3,8.19,60,0.43,Bachelor's,Unemployed,Single,0,No,Auto,1,0
37260,4R0OUWPTHU,24,61401,93592,835,39,1,17.15,60,0.67,Bachelor's,Full-time,Single,0,Yes,Education,1,0
3448,JTF4505N8H,20,62070,29221,736,107,3,4.18,24,0.8,Bachelor's,Full-time,Divorced,0,Yes,Auto,1,0
30040,AOT05PAUCL,62,85695,81568,537,97,2,11.64,24,0.63,High School,Full-time,Divorced,1,Yes,Business,0,0
116754,2IT0XWLCIQ,29,72683,232597,506,97,2,17.89,24,0.19,Master's,Full-time,Single,1,No,Business,1,0
24890,OLWQEWPX39,55,122457,70297,461,74,4,24.16,48,0.41,Master's,Unemployed,Divorced,0,Yes,Auto,0,0
205167,WQ0RE4OSS8,31,16200,25195,843,21,3,19.38,12,0.53,Bachelor's,Unemployed,Married,0,Yes,Business,1,0
68757,UOZCFDGXAT,26,43171,112389,303,75,2,15.32,12,0.64,High School,Self-employed,Married,0,Yes,Home,1,0
107473,S6XM62SY3X,43,67972,44607,583,75,1,17.3,36,0.75,PhD,Full-time,Married,0,No,Home,0,0
76542,0EZ9GGETA0,23,38527,84612,500,75,3,21.67,48,0.2,Bachelor's,Full-time,Divorced,0,No,Other,1,1
197031,QA20IXS14G,18,133605,112976,552,18,2,23.12,24,0.37,Bachelor's,Self-employed,Single,1,Yes,Business,0,1
85316,XQSZN0M2NX,51,137696,107205,536,103,3,9.32,36,0.18,Bachelor's,Self-employed,Single,0,Yes,Home,1,0
139202,LJKWPLQGOG,53,120776,135420,646,30,3,4.72,60,0.14,High School,Self-employed,Single,1,No,Other,1,0
189496,VZ70ER4FEJ,67,56375,108585,468,16,1,14.19,60,0.45,Master's,Unemployed,Divorced,1,No,Other,1,0
98873,PP03SBHEYO,40,93833,146388,802,5,3,3.3,36,0.49,High School,Unemployed,Single,1,No,Auto,0,0
61537,YU506BAQZ2,26,15104,48413,639,18,1,10.36,36,0.21,PhD,Full-time,Divorced,0,No,Education,1,0
196322,GOQ2MZR1R6,27,96859,58101,729,84,3,18.76,24,0.71,Master's,Self-employed,Married,1,No,Education,1,0
18401,322PODQ4PC,64,127583,150577,800,108,3,17.4,48,0.72,PhD,Self-employed,Married,1,Yes,Other,0,0
11533,S88H7OR2VH,24,32821,5992,311,104,3,6.66,36,0.36,Master's,Self-employed,Divorced,0,Yes,Business,0,0
64315,TPC6KAVJED,54,39126,19197,772,97,4,19.18,36,0.11,High School,Full-time,Married,1,No,Business,0,0
120988,I3E5KY09IB,35,106641,65918,547,73,3,11.86,36,0.67,PhD,Part-time,Single,0,No,Education,1,0
23499,US96O8AXJ2,54,82626,219464,791,76,3,21.96,24,0.12,High School,Unemployed,Married,0,Yes,Education,1,0
208606,2A08PXUT02,24,97851,61259,365,118,1,22.83,36,0.68,Bachelor's,Full-time,Divorced,1,No,Home,0,0
153377,FD1ZPI0IQN,23,112664,170604,599,75,1,5.92,48,0.2,High School,Self-employed,Single,0,No,Business,1,0
1493,ZWYG8ZYKMH,62,96897,198317,734,58,2,6.29,12,0.65,Master's,Unemployed,Married,0,Yes,Business,1,0
175430,TNOUC9NPF1,29,139685,247679,773,37,2,14.53,24,0.1,Master's,Part-time,Divorced,1,No,Business,1,1
45096,A2U0AFA82K,36,100804,217543,625,71,1,9.84,12,0.53,Master's,Part-time,Divorced,1,No,Home,0,0
115686,BY7B06Q1JE,61,56901,37125,617,6,2,7.2,12,0.87,Master's,Part-time,Divorced,0,No,Business,1,0
33635,TP9JDD0C65,63,134255,106597,591,27,3,20.12,36,0.23,Bachelor's,Self-employed,Divorced,1,No,Business,1,0
130788,H8O3GH48DT,44,137513,222029,489,102,4,8.9,24,0.55,High School,Unemployed,Divorced,1,Yes,Home,1,0
75754,I083S5JL0V,58,71564,95605,804,72,3,8.39,24,0.78,Bachelor's,Unemployed,Divorced,0,No,Other,0,0
248795,YVLQQSWZZ3,53,88899,243711,806,43,1,23.73,12,0.2,Bachelor's,Part-time,Single,1,Yes,Other,0,0
17012,A93CRBL6DU,43,59297,109794,589,12,2,19.96,48,0.71,Bachelor's,Part-time,Divorced,1,Yes,Auto,1,0
227624,45QKGAY3GT,31,148154,83110,560,69,3,18.86,24,0.18,Bachelor's,Self-employed,Divorced,0,No,Auto,0,0
7418,V1SXSYKHIF,31,28715,70095,761,31,2,16.12,24,0.65,Bachelor's,Full-time,Divorced,1,Yes,Business,0,0
127486,1UN15LNAKE,33,88253,15186,687,81,2,2.69,12,0.24,PhD,Unemployed,Divorced,1,No,Auto,1,0
206636,D88T6HKXEE,65,116467,12778,656,70,3,4.18,36,0.75,PhD,Part-time,Married,1,No,Other,0,0
251125,4FLLHCMRDN,23,95949,61201,593,55,2,9.14,48,0.18,Master's,Full-time,Married,0,No,Auto,1,0
95444,GUJQKKC84Q,36,146324,67442,778,86,3,20.51,24,0.59,Bachelor's,Part-time,Single,1,Yes,Auto,0,0
120480,MSO1YD57CG,42,76969,27404,680,32,3,12.51,12,0.16,High School,Unemployed,Divorced,0,No,Home,0,0
187590,9PMO8GC8A1,47,39891,239385,319,53,4,20.47,12,0.86,Bachelor's,Full-time,Married,1,No,Business,0,0
179768,06YK48ADHH,64,53935,86645,351,24,3,3.41,12,0.8,Bachelor's,Unemployed,Married,1,No,Other,1,0
249713,N9K138UXNR,20,53838,30013,821,72,2,4.17,48,0.33,Master's,Full-time,Single,1,Yes,Business,1,0
205754,GC7XAK6O9O,35,26438,75750,726,12,2,13.02,12,0.21,PhD,Part-time,Divorced,0,Yes,Auto,0,0
37482,YADJQXNFZB,44,49723,219186,571,12,1,12.17,24,0.67,Bachelor's,Unemployed,Married,0,No,Business,1,0
134184,KI3E01MOGD,55,55813,218018,390,53,3,8.02,48,0.49,Bachelor's,Unemployed,Divorced,0,No,Education,1,0
127661,VZK7J8UCH5,21,92473,50883,372,95,1,16.23,12,0.34,Master's,Part-time,Married,1,No,Education,1,0
173372,X7J9MTPHU4,33,92266,32198,796,87,4,7.23,36,0.86,Master's,Part-time,Single,0,Yes,Auto,0,0
210217,U6B836W51C,33,94870,104935,713,104,2,12.19,60,0.78,Master's,Full-time,Single,0,Yes,Home,1,0
57617,BSJTL6QONN,32,31742,139072,483,7,1,21.49,36,0.54,Bachelor's,Full-time,Single,1,Yes,Business,1,0
186802,JNWG5VEBMG,18,100872,176941,486,119,4,24.15,60,0.37,PhD,Self-employed,Married,1,No,Business,1,1
228577,C3ELJ6PH79,64,112881,53394,742,90,3,21.6,12,0.75,Master's,Self-employed,Married,1,No,Home,1,0
140431,NA57F6T40I,56,137230,58205,401,69,4,7.34,60,0.53,PhD,Self-employed,Divorced,1,Yes,Home,1,1
246792,2D6NQWDXNY,60,56644,178363,462,61,2,3.59,24,0.56,High School,Full-time,Divorced,0,No,Auto,0,0
159006,16CJF7ORF6,48,146853,229370,407,30,4,21.3,48,0.66,PhD,Self-employed,Single,0,No,Auto,1,0
41407,HW24VKCWK8,69,34519,207001,789,65,4,3.7,24,0.47,Master's,Unemployed,Single,0,No,Business,1,0
248850,I627788IUY,63,94563,202373,552,34,4,18.35,60,0.85,Bachelor's,Unemployed,Married,0,Yes,Other,1,0
143864,O2TRI86RB0,63,24101,71940,619,43,4,19.99,60,0.77,Master's,Part-time,Married,1,Yes,Home,1,0
88240,YFM3DKACRQ,22,123012,52220,326,22,1,15.42,36,0.54,Master's,Part-time,Single,0,Yes,Auto,0,0
209610,A4EMQ2XGUH,45,29045,59859,565,13,3,5.13,24,0.39,Master's,Full-time,Single,0,No,Auto,1,1
123441,QLOG5C49HJ,45,31760,159234,414,3,4,3.87,24,0.72,High School,Self-employed,Single,1,Yes,Auto,1,1
180856,LY29O2UD4K,61,113227,58286,497,63,1,7.56,60,0.84,PhD,Self-employed,Divorced,0,Yes,Business,0,0
221238,3F71XUF9PK,36,22701,148414,528,93,4,10.12,60,0.75,Bachelor's,Part-time,Single,0,No,Home,1,0
207663,FFZ8L7BBXV,45,106684,69937,718,88,1,3.3,24,0.76,Master's,Full-time,Divorced,1,No,Home,0,0
82818,73RXRWKBEH,49,80046,52608,683,73,2,21.92,36,0.19,Bachelor's,Full-time,Married,1,Yes,Auto,0,0
142117,UYOJ46UWLG,41,89877,104146,494,88,3,18.37,12,0.78,Bachelor's,Unemployed,Single,1,No,Other,1,0
248624,MONSOVIWF6,63,114938,29168,534,50,4,12.38,24,0.86,PhD,Full-time,Single,0,No,Business,1,0
92720,UFD62OVXW1,63,95044,97975,756,105,1,18.17,60,0.83,Master's,Unemployed,Divorced,0,No,Education,0,0
174085,G27RIL7U67,32,28777,105172,470,35,3,3.55,60,0.58,Bachelor's,Full-time,Married,0,No,Business,1,0
56571,38V7C2HJVH,62,139995,223645,661,30,2,18.3,60,0.83,Bachelor's,Full-time,Single,0,No,Business,0,0
18089,7FZ364L1E2,20,44914,184377,707,65,4,14.81,24,0.48,Master's,Part-time,Divorced,1,Yes,Home,1,1
32351,NEVEKHCVUJ,60,86068,237230,749,112,2,12.06,48,0.21,Master's,Part-time,Married,1,Yes,Auto,1,0
169194,WKTY8X2S4U,50,121600,63520,336,53,1,21.63,60,0.47,PhD,Part-time,Single,1,No,Business,0,0
250323,Z5UQOWYMNV,51,128527,211639,848,103,3,22.28,24,0.35,Master's,Self-employed,Married,1,No,Other,1,0
127094,K9FCWBZ1A9,43,53329,52719,826,112,1,10.95,24,0.48,PhD,Unemployed,Married,1,Yes,Other,0,0
108764,00IK2G48E1,18,15847,29327,504,54,1,5.82,24,0.16,Bachelor's,Unemployed,Married,0,No,Other,1,0
219057,PO25PPPAJI,40,29871,109471,830,52,2,20.72,24,0.57,Bachelor's,Unemployed,Single,1,No,Other,1,0
51184,2JLDODKNOX,46,105782,137675,303,29,3,17.75,60,0.17,Bachelor's,Part-time,Divorced,0,No,Other,1,0
17142,8MK3FH7PQ9,56,142906,92916,737,3,1,12.46,48,0.56,Bachelor's,Full-time,Single,0,No,Home,0,0
74106,GVXXRW0OVZ,43,29534,94954,388,112,4,7.06,24,0.51,PhD,Full-time,Divorced,1,Yes,Auto,0,0
119893,XT2WNJGM7T,60,132599,163507,825,15,4,2.33,48,0.74,Bachelor's,Unemployed,Married,0,Yes,Education,1,0
95334,I6E0RY87D6,50,51733,92804,305,47,3,21.28,36,0.73,Master's,Self-employed,Married,0,Yes,Auto,0,1
255128,WK4KQE8V78,43,63626,172986,470,116,2,18.69,24,0.73,High School,Self-employed,Divorced,0,No,Home,1,1
15835,QJZTTROZ5Y,34,134250,55730,647,99,3,7.77,12,0.78,High School,Full-time,Divorced,0,Yes,Auto,0,0
168469,J5FN5YPK88,68,61368,190363,386,74,3,10.93,48,0.74,High School,Part-time,Married,0,Yes,Home,0,0
26222,67LS76VC9C,35,125149,151386,543,113,4,20.49,36,0.51,High School,Self-employed,Divorced,1,No,Home,1,0
200133,Y1XZN61E0M,45,38310,183714,318,1,4,22.67,12,0.28,PhD,Full-time,Single,0,No,Auto,0,1
195812,L0HQU5IZRO,34,84156,90531,678,37,1,5.95,60,0.14,Bachelor's,Self-employed,Single,0,No,Auto,0,0
13685,H7YT3ZUZC0,62,104713,21263,409,31,1,18.17,24,0.5,Bachelor's,Full-time,Married,0,Yes,Education,0,0
89796,3X1RTNOLAU,45,84894,18348,539,12,4,11.78,60,0.37,PhD,Full-time,Married,1,No,Business,1,0
202574,YM0VP2UL3Q,27,61701,73356,807,92,1,13.49,48,0.18,Bachelor's,Part-time,Single,0,Yes,Education,0,1
103905,Q6YKH4KJ28,53,34734,73022,600,8,3,16.23,60,0.65,PhD,Self-employed,Divorced,0,Yes,Other,0,0
173258,WNTZQYLVNE,56,92576,117716,565,1,2,19.55,12,0.52,Master's,Self-employed,Single,0,No,Education,0,0
51632,PSEG03LDZL,62,114298,10989,769,92,3,2.47,60,0.76,Bachelor's,Self-employed,Divorced,1,Yes,Home,0,0
161927,T6HJG6NI13,26,99673,249542,795,97,1,16.8,24,0.45,PhD,Part-time,Married,0,Yes,Auto,0,0
85421,9POVETIMPD,21,119714,170765,331,23,1,19.59,24,0.39,Master's,Unemployed,Divorced,1,No,Business,0,1
64899,C0BIGLMKSV,37,44462,233539,830,72,1,9.51,36,0.71,Master's,Full-time,Single,1,No,Auto,0,0
197873,55LTF3Y430,51,134275,25370,621,21,2,5.05,24,0.27,High School,Full-time,Married,1,Yes,Education,1,0
234060,96VH7R003P,25,20724,59519,521,12,4,15.84,24,0.74,Master's,Part-time,Married,0,Yes,Home,0,1
39264,T97RWWQVL3,60,28672,129291,754,94,3,20.52,12,0.63,High School,Part-time,Married,0,Yes,Education,1,0
151727,RXZ2903HWT,42,15565,44757,820,108,4,10.34,48,0.36,PhD,Unemployed,Divorced,0,No,Business,1,0
202718,0YHRRB9A7U,65,73425,65405,636,80,1,13.95,48,0.31,PhD,Part-time,Single,0,No,Home,1,1
210989,1EJNNXSFES,56,62900,67034,619,17,4,10.22,24,0.49,PhD,Self-employed,Single,1,No,Home,1,0
180395,IFCPS9LAVM,36,53411,163850,383,38,2,14.52,36,0.67,High School,Full-time,Single,0,No,Education,1,1
252738,CF0CI91AR4,53,70949,114474,641,16,3,21.98,60,0.78,Bachelor's,Full-time,Married,0,No,Business,1,0
65594,Z4SI4HE8EV,23,61503,136860,653,71,2,19.85,48,0.63,Bachelor's,Full-time,Divorced,1,Yes,Business,1,0
208622,ZIL5QJNLJK,27,121761,144251,722,119,4,6.19,60,0.31,Bachelor's,Part-time,Divorced,0,Yes,Home,0,0
43329,FONWDVU9ZH,53,36737,175235,779,43,2,8.05,48,0.5,Bachelor's,Unemployed,Single,1,No,Auto,0,0
246147,Y7VCNTTM8M,67,128299,232270,757,76,4,6.24,24,0.21,High School,Unemployed,Married,1,No,Home,1,0
